intype,insubtype,surreason,outtype,animaltype,sex,bites,petsize,color,breed,mixed,breed2,days_in,in_season,out_season
STRAY,OTC,STRAY,FOSTER,CAT,S,N,KITTN,BRN TABBY / WHITE,DOMESTIC SH,False,NM,3,SPRING,SPRING
STRAY,OTC,STRAY,FOSTER,CAT,F,N,KITTN,BRN TABBY,DOMESTIC SH,False,NM,25,FALL,FALL
LOST,WEB,LOST/FOUND,LOST EXP,CAT,M,U,KITTN,UNKNOWN,DOMESTIC SH,False,NM,31,SUMMER,FALL
STRAY,OTC,STRAY,FOSTER,CAT,N,N,KITTN,BUFF / WHITE,DOMESTIC MH,False,NM,3,SPRING,SPRING
STRAY,OTC,STRAY,RTF,CAT,S,N,MED,BRN TABBY,DOMESTIC SH,False,NM,13,SUMMER,SUMMER
STRAY,OTC,STRAY,FOSTER,CAT,S,N,KITTN,TORTIE,DOMESTIC SH,False,NM,2,FALL,FALL
STRAY,OTC,STRAY,SNR,CAT,S,N,SMALL,TORTIE,DOMESTIC SH,False,NM,2,SPRING,SPRING
STRAY,OTC,STRAY,FOSTER,CAT,S,N,KITTN,BLACK,DOMESTIC SH,False,NM,0,SPRING,SPRING
STRAY,OTC,STRAY,FOSTER,CAT,N,N,KITTN,ORG TABBY,DOMESTIC SH,False,NM,2,FALL,FALL
STRAY,FIELD,STRAY,SNR,CAT,N,N,MED,ORANGE,DOMESTIC SH,False,NM,4,SPRING,SUMMER
OWNER SUR,EUTH REQ,BITES,EUTH,DOG,M,Y,TOY,BLACK / WHITE,BOSTON TERRIER,False,NM,14,SPRING,SPRING
STRAY,OTC,STRAY,ADOPTION,CAT,S,N,KITTN,BLACK,DOMESTIC SH,False,NM,27,SUMMER,SUMMER
OWNER SUR,EUTH REQ,EUTH MED,EUTH,DOG,M,N,PUPPY,BLACK / RED,DOBERMAN PINSCH,False,NM,0,WINTER,WINTER
STRAY,OTC,STRAY,FOSTER,CAT,M,N,KITTN,ORG TABBY / WHITE,DOMESTIC SH,False,NM,0,SUMMER,SUMMER
STRAY,OTC,STRAY,FOSTER,CAT,S,N,SMALL,BLACK,DOMESTIC SH,False,NM,0,SPRING,SPRING
OWNER SUR,OTC,BITES,FOSTER,DOG,N,Y,MED,BLACK / TAN,DOBERMAN PINSCH,False,NM,5,SUMMER,SUMMER
STRAY,OTC,STRAY,FOSTER,CAT,S,N,KITTN,BLACK,DOMESTIC SH,False,NM,0,SPRING,SPRING
STRAY,OTC,STRAY,ADOPTION,DOG,N,N,LARGE,TAN / WHITE,AMERICAN STAFF,False,NM,25,SUMMER,SUMMER
STRAY,FIELD,STRAY,SNR,CAT,S,N,MED,GRAY,AMER SH,False,NM,21,SPRING,SUMMER
STRAY,OTC,STRAY,SNR,CAT,M,N,LARGE,GRAY,DOMESTIC MH,False,NM,2,FALL,FALL
STRAY,OTC,STRAY,RTF,CAT,N,N,SMALL,BLACK / WHITE,DOMESTIC SH,False,NM,30,SUMMER,SUMMER
STRAY,OTC,STRAY,FOSTER,CAT,S,N,KITTN,BRN TABBY,DOMESTIC SH,False,NM,5,FALL,FALL
STRAY,OTC,STRAY,TNR,CAT,N,N,LARGE,GRAY / WHITE,DOMESTIC SH,False,NM,1,WINTER,WINTER
STRAY,OTC,STRAY,TRANSFER,DOG,N,N,PUPPY,TAN / BLACK,GERM SHEPHERD,False,NM,8,FALL,FALL
STRAY,FIELD,STRAY,RTO,DOG,N,N,PUPPY,BLACK / BROWN,MIN PINSCHER,True,DACHSHUND,2,SPRING,SPRING
STRAY,OTC,STRAY,TRANSFER,DOG,N,N,PUPPY,BROWN / BLACK,GERM SHEPHERD,False,NM,8,FALL,FALL
FOSTER,RETURN,FOSTER RET,ADOPTION,CAT,S,N,KITTN,GRAY / WHITE,DOMESTIC SH,False,NM,2,SUMMER,SUMMER
FOSTER,RETURN,FOSTER RET,ADOPTION,CAT,N,N,KITTN,WHITE / GRAY,DOMESTIC SH,False,NM,2,SUMMER,SUMMER
RETURN,ADOPTION,NO HOME,ADOPTION,DOG,N,Y,MED,TRICOLOR,PIT BULL,True,Unknown,5,SPRING,SPRING
OWNER SUR,FIELD,BITES,RTO,DOG,M,Y,MED,TAN,PIT BULL,True,Unknown,0,SPRING,SPRING
STRAY,FIELD,STRAY,ADOPTION,DOG,S,N,MED,BLACK / WHITE,LABRADOR RETR,True,Unknown,9,SPRING,SPRING
STRAY,OTC,STRAY,RTO,DOG,M,N,TOY,TAN / SILVER,YORKSHIRE TERR,False,NM,1,SPRING,SPRING
STRAY,OTC,STRAY,RTO,DOG,N,N,LARGE,BLACK / WHITE,LABRADOR RETR,True,Unknown,2,SPRING,SPRING
STRAY,OTC,STRAY,RTF,CAT,S,N,MED,BLACK / WHITE,DOMESTIC SH,False,NM,1,SPRING,SPRING
STRAY,OTC,STRAY,RTO,DOG,N,N,MED,TAN,DACHSHUND,True,GREYHOUND,1,WINTER,WINTER
STRAY,OTC,STRAY,RTO,DOG,S,N,TOY,WHITE / BROWN,CHIHUAHUA LH,False,NM,1,SPRING,SPRING
STRAY,OTC,STRAY,SNR,CAT,S,N,LARGE,CALICO,DOMESTIC LH,False,NM,2,SPRING,SPRING
RETURN,ADOPTION,MOVE,ADOPTION,DOG,S,N,MED,TAN,PIT BULL,False,NM,1,SPRING,SPRING
FOSTER,RETURN,FOSTER RET,ADOPTION,DOG,S,N,SMALL,WHITE / BROWN,BEAGLE,True,Unknown,0,SPRING,SPRING
RETURN,ADOPTION,BITES,EUTH,DOG,N,Y,MED,BR BRINDLE / WHITE,BOXER,True,Unknown,6,SPRING,SPRING
STRAY,OTC,STRAY,SNR,CAT,N,N,SMALL,ORG TABBY / WHITE,DOMESTIC SH,False,NM,4,SPRING,SPRING
STRAY,OTC,STRAY,FOSTER,DOG,S,N,MED,BLACK / WHITE,BOXER,True,LABRADOR RETR,5,SPRING,SPRING
STRAY,OTC,STRAY,EUTH,DOG,M,N,MED,RED,CHOW CHOW,True,Unknown,0,FALL,FALL
STRAY,OTC,STRAY,TRANSFER,DOG,N,N,MED,TAN / WHITE,BOXER,False,NM,7,WINTER,WINTER
STRAY,OTC,STRAY,SNR,CAT,S,N,MED,ORANGE / WHITE,DOMESTIC SH,False,NM,5,WINTER,WINTER
CONFISCATE,POLICE,STRAY,RTO,DOG,F,N,MED,BLACK / WHITE,PIT BULL,False,NM,1,FALL,FALL
OWNER SUR,OTC,MOVE,ADOPTION,DOG,N,N,PUPPY,WHITE,PIT BULL,False,NM,2,FALL,FALL
STRAY,OTC,STRAY,SNR,CAT,N,N,MED,BLACK,DOMESTIC SH,False,NM,2,SPRING,SPRING
STRAY,FIELD,STRAY,EUTH,DOG,M,N,MED,GRAY / WHITE,PIT BULL,False,NM,6,SUMMER,SUMMER
OWNER SUR,OTC,MOVE,ADOPTION,DOG,S,N,PUPPY,WHITE / BLACK,PIT BULL,False,NM,2,FALL,FALL
STRAY,FIELD,STRAY,RTO,DOG,N,Y,MED,BLUE / WHITE,PIT BULL,False,NM,1,WINTER,WINTER
STRAY,OTC,STRAY,RTO,DOG,N,N,MED,BLACK,CHOW CHOW,True,Unknown,2,SPRING,SPRING
OWNER SUR,OTC,MOVE,ADOPTION,DOG,N,N,PUPPY,BROWN,AMER BULLDOG,True,Unknown,1,FALL,FALL
LOST,WEB,LOST/FOUND,LOST EXP,DOG,F,U,LARGE,UNKNOWN,GERM SHEPHERD,False,NM,31,SUMMER,FALL
STRAY,OTC,STRAY,RTO,DOG,S,N,LARGE,BLACK / BROWN,GERM SHEPHERD,True,Unknown,0,SPRING,SPRING
RETURN,ADOPTION,AGG ANIMAL,ADOPTION,DOG,S,N,LARGE,BLACK / TAN,GERM SHEPHERD,False,NM,12,FALL,FALL
STRAY,OTC,STRAY,TNR,CAT,S,N,MED,CALICO / GRAY TABBY,DOMESTIC SH,False,NM,2,WINTER,WINTER
